Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
1, 100, 0.011980000000000008, 0.0, 0.0, 0.0, 0.0
2, 104, 0.09931323076923076, 0.0, 0.0, 0.0, 180.0
3, 104, 0.19164824615384618, 0.0, 0.0, 0.0, 340.0
4, 104, 0.3142807601801846, 0.0, 0.0, 0.0, 660.0
5, 104, 0.3496772883263015, 0.0, 0.0, 0.0, 800.0
6, 104, 0.3585533545896566, 0.0, 0.0, 0.0, 1360.0
7, 104, 0.36591370951731733, 0.0, 0.0, 0.0, 1360.0
8, 104, 0.36713217105577883, 0.0, 0.0, 0.0, 1360.0
9, 104, 0.36775602336347113, 0.0, 0.0, 0.0, 1360.0
10, 104, 0.36825510520962496, 0.0, 0.0, 0.0, 1360.0
11, 104, 0.36875418705577884, 0.0, 0.0, 0.0, 1360.0
12, 104, 0.37027726397885574, 0.0, 0.0, 0.0, 1360.0
13, 104, 0.371252033209625, 0.0, 0.0, 0.0, 1360.0
14, 104, 0.37604641617577883, 0.0, 0.0, 0.0, 1480.0
15, 108, 0.3778370257906017, 0.0, 0.0, 0.0, 1579.0
16, 108, 0.4404468424519347, 0.0, 0.0, 0.0, 1579.0
17, 108, 0.4482922466119347, 0.0, 0.0, 0.0, 1678.0
18, 108, 0.45878744031433466, 0.0, 0.0, 0.0, 1866.0
19, 108, 0.4597261069810013, 0.0, 0.0, 0.0, 1866.0
20, 108, 0.45992295964873464, 0.0, 0.0, 0.0, 1866.0
21, 108, 0.461096292982068, 0.0, 0.0, 0.0, 1866.0
22, 108, 0.46203495964873464, 0.0, 0.0, 0.0, 1866.0
23, 108, 0.4629736263154013, 0.0, 0.0, 0.0, 1866.0
24, 108, 0.46414695964873465, 0.0, 0.0, 0.0, 1866.0
25, 108, 0.46598029298206795, 0.0, 0.0, 0.0, 2006.0
26, 108, 0.46622635881673463, 0.0, 0.0, 0.0, 2006.0
27, 108, 0.466977292150068, 0.0, 0.0, 0.0, 2006.0
28, 108, 0.46772822548340137, 0.0, 0.0, 0.0, 2006.0
29, 108, 0.4689015588167347, 0.0, 0.0, 0.0, 2006.0
30, 108, 0.4690590409509213, 0.0, 0.0, 0.0, 2006.0
31, 108, 0.469659787617588, 0.0, 0.0, 0.0, 2006.0
32, 108, 0.4705984542842547, 0.0, 0.0, 0.0, 2006.0
33, 108, 0.47206512095092135, 0.0, 0.0, 0.0, 2006.0
34, 108, 0.4732384542842547, 0.0, 0.0, 0.0, 2006.0
35, 108, 0.473989387617588, 0.0, 0.0, 0.0, 2006.0
36, 108, 0.4745901342842547, 0.0, 0.0, 0.0, 2006.0
37, 108, 0.4760568009509214, 0.0, 0.0, 0.0, 2006.0
38, 108, 0.4772301342842547, 0.0, 0.0, 0.0, 2006.0
39, 108, 0.47771073161758804, 0.0, 0.0, 0.0, 2006.0
40, 108, 0.4786493982842547, 0.0, 0.0, 0.0, 2006.0
41, 108, 0.48048273161758803, 0.0, 0.0, 0.0, 2006.0
42, 108, 0.48079031391092136, 0.0, 0.0, 0.0, 2006.0
43, 108, 0.48225698057758803, 0.0, 0.0, 0.0, 2146.0
44, 108, 0.4831956472442547, 0.0, 0.0, 0.0, 2146.0
45, 108, 0.48394658057758805, 0.0, 0.0, 0.0, 2146.0
46, 108, 0.48414343324532144, 0.0, 0.0, 0.0, 2146.0
47, 108, 0.48531676657865475, 0.0, 0.0, 0.0, 2146.0
48, 108, 0.4871500999119881, 0.0, 0.0, 0.0, 2234.0
49, 108, 0.4883234332453214, 0.0, 0.0, 0.0, 2234.0
50, 108, 0.4886310155386547, 0.0, 0.0, 0.0, 2234.0
51, 108, 0.48980434887198804, 0.0, 0.0, 0.0, 2354.0
52, 108, 0.4907430155386547, 0.0, 0.0, 0.0, 2354.0
53, 108, 0.4908690012460041, 0.0, 0.0, 0.0, 2354.0
54, 108, 0.4916199345793374, 0.0, 0.0, 0.0, 2354.0
55, 108, 0.49279326791267075, 0.0, 0.0, 0.0, 2354.0
56, 108, 0.4932738652460041, 0.0, 0.0, 0.0, 2354.0
57, 108, 0.4940247985793374, 0.0, 0.0, 0.0, 2354.0
58, 108, 0.49477573191267077, 0.0, 0.0, 0.0, 2354.0
59, 108, 0.4952563292460041, 0.0, 0.0, 0.0, 2354.0
60, 108, 0.49541381138019075, 0.0, 0.0, 0.0, 2434.0
61, 108, 0.4968804780468574, 0.0, 0.0, 0.0, 2434.0
62, 108, 0.4987138113801907, 0.0, 0.0, 0.0, 2434.0
63, 108, 0.49881459994607014, 0.0, 0.0, 0.0, 2434.0
64, 108, 0.5002812666127368, 0.0, 0.0, 0.0, 2511.0
65, 108, 0.5008820132794034, 0.0, 0.0, 0.0, 2511.0
66, 108, 0.5023486799460701, 0.0, 0.0, 0.0, 2511.0
67, 108, 0.5029494266127368, 0.0, 0.0, 0.0, 2511.0
68, 108, 0.5037003599460701, 0.0, 0.0, 0.0, 2571.0
69, 108, 0.5043011066127367, 0.0, 0.0, 0.0, 2691.0
70, 108, 0.5050520399460701, 0.0, 0.0, 0.0, 2691.0
71, 108, 0.5065187066127368, 0.0, 0.0, 0.0, 2791.0
72, 108, 0.5074573732794034, 0.0, 0.0, 0.0, 2791.0
73, 108, 0.50892403994607, 0.0, 0.0, 0.0, 2791.0
74, 108, 0.5107573732794034, 0.0, 0.0, 0.0, 2879.0
75, 108, 0.51169603994607, 0.0, 0.0, 0.0, 2879.0
76, 108, 0.5119421057807367, 0.0, 0.0, 0.0, 2879.0
77, 108, 0.5124227031140701, 0.0, 0.0, 0.0, 2879.0
78, 108, 0.5126195557818034, 0.0, 0.0, 0.0, 2879.0
79, 108, 0.5130040336484701, 0.0, 0.0, 0.0, 2879.0
80, 108, 0.5141773669818034, 0.0, 0.0, 0.0, 2879.0
81, 108, 0.5151160336484701, 0.0, 0.0, 0.0, 2879.0
82, 108, 0.5158669669818035, 0.0, 0.0, 0.0, 2879.0
83, 108, 0.5161130328164701, 0.0, 0.0, 0.0, 2879.0
